file,ciudad,nombre,antes,despues,modo,problemas
europa_occidental.csv,Londres,Hampton Court Palace,"Hampton Court Palace, UK","Hampton Court Palace, London, UK",mecanico,
europa_occidental.csv,Londres,Sky Garden,"Sky Garden, London, UK","Sky Garden, London, UK",mecanico,
europa_occidental.csv,Londres,The Shard,"The Shard, London, UK","The Shard, London, UK",mecanico,
europa_occidental.csv,Londres,London Eye,"London Eye, UK","London Eye, London, UK",mecanico,
europa_occidental.csv,Londres,Hyde Park,"Hyde Park, London, UK","Hyde Park, London, UK",mecanico,
europa_occidental.csv,Londres,Kensington Gardens,"Kensington Gardens, London, UK","Kensington Gardens, London, UK",mecanico,
europa_occidental.csv,Londres,Regent's Park,"Regent's Park, London, UK","Regent's Park, London, UK",mecanico,
europa_occidental.csv,Londres,St James's Park,"St James's Park, London, UK","St James's Park, London, UK",mecanico,
europa_occidental.csv,Londres,Hampstead Heath,"Hampstead Heath, London, UK","Hampstead Heath, London, UK",mecanico,
europa_occidental.csv,Londres,Primrose Hill,"Primrose Hill, London, UK","Primrose Hill, London, UK",mecanico,
europa_occidental.csv,Londres,Greenwich Park,"Greenwich Park, London, UK","Greenwich Park, London, UK",mecanico,
europa_occidental.csv,Londres,Richmond Park,"Richmond Park, London, UK","Richmond Park, London, UK",mecanico,
europa_occidental.csv,Londres,Victoria Park,"Victoria Park, London, UK","Victoria Park, London, UK",mecanico,
europa_occidental.csv,Londres,Victoria Embankment Gardens,"Victoria Embankment Gardens, London, UK","Victoria Embankment Gardens, London, UK",mecanico,
europa_occidental.csv,Londres,Borough Market,"Borough Market, London, UK","Borough Market, London, UK",mecanico,
europa_occidental.csv,Londres,Portobello Road Market,"Portobello Road Market, London, UK","Portobello Road Market, London, UK",mecanico,
europa_occidental.csv,Londres,Brick Lane Market,"Brick Lane Market, London, UK","Brick Lane Market, London, UK",mecanico,
europa_occidental.csv,Londres,Columbia Road Flower Market,"Columbia Road Flower Market, London, UK","Columbia Road Flower Market, London, UK",mecanico,
europa_occidental.csv,Londres,Broadway Market,"Broadway Market, Hackney, London, UK","Broadway Market, Hackney, London, UK",mecanico,
europa_occidental.csv,Londres,Camden Market,"Camden Market, London, UK","Camden Market, London, UK",mecanico,
europa_occidental.csv,Londres,Spitalfields Market,"Old Spitalfields Market, London, UK","Old Spitalfields Market, London, UK",mecanico,
europa_occidental.csv,Londres,Leadenhall Market,"Leadenhall Market, London, UK","Leadenhall Market, London, UK",mecanico,
europa_occidental.csv,Londres,Maltby Street Market,"Maltby Street Market, London, UK","Maltby Street Market, London, UK",mecanico,
europa_occidental.csv,Londres,Shakespeare's Globe,"Shakespeare's Globe, London, UK","Shakespeare's Globe, London, UK",mecanico,
europa_occidental.csv,Londres,Royal Albert Hall,"Royal Albert Hall, London, UK","Royal Albert Hall, London, UK",mecanico,
europa_occidental.csv,Londres,Harry Potter Studio Tour,"Warner Bros Studio Tour London, Leavesden, UK","Warner Bros Studio Tour London, Leavesden, London, UK",mecanico,
europa_occidental.csv,Londres,South Bank,"South Bank, London, UK","South Bank, London, UK",mecanico,
europa_occidental.csv,Londres,Shoreditch / Brick Lane,"Shoreditch, London, UK","Shoreditch, London, UK",mecanico,
europa_occidental.csv,Londres,Notting Hill,"Notting Hill, London, UK","Notting Hill, London, UK",mecanico,
europa_occidental.csv,Londres,Soho,"Soho, London, UK","Soho, London, UK",mecanico,
europa_occidental.csv,Londres,Kensington / Chelsea,"Kensington, London, UK","Kensington, London, UK",mecanico,
europa_occidental.csv,Londres,Marylebone,"Marylebone, London, UK","Marylebone, London, UK",mecanico,
europa_occidental.csv,Londres,Greenwich,"Greenwich, London, UK","Greenwich, London, UK",mecanico,
europa_occidental.csv,Londres,Camden,"Camden Town, London, UK","Camden Town, London, UK",mecanico,
europa_occidental.csv,Londres,Islington / Angel,"Angel, Islington, London, UK","Angel, Islington, London, UK",mecanico,
europa_occidental.csv,Londres,Highgate Cemetery,"Highgate Cemetery, London, UK","Highgate Cemetery, London, UK",mecanico,
europa_occidental.csv,Londres,King's Cross Station,"King's Cross Station, London, UK","King's Cross Station, London, UK",mecanico,
europa_occidental.csv,Londres,Cecil Court,"Cecil Court, London, UK","Cecil Court, London, UK",mecanico,
europa_occidental.csv,York,York Minster,"York Minster, York, UK","York Minster, York, UK",mecanico,
europa_occidental.csv,York,National Railway Museum,"National Railway Museum, York, UK","National Railway Museum, York, UK",mecanico,
europa_occidental.csv,York,JORVIK Viking Centre,"JORVIK Viking Centre, York, UK","JORVIK Viking Centre, York, UK",mecanico,
europa_occidental.csv,York,York Castle Museum,"York Castle Museum, UK","York Castle Museum, York, UK",mecanico,
europa_occidental.csv,York,Yorkshire Museum,"Yorkshire Museum, York, UK","Yorkshire Museum, York, UK",mecanico,
europa_occidental.csv,York,Barley Hall,"Barley Hall, York, UK","Barley Hall, York, UK",mecanico,
europa_occidental.csv,York,York Chocolate Story,"York's Chocolate Story, UK","York's Chocolate Story, York, UK",mecanico,
europa_occidental.csv,York,The Shambles,"The Shambles, York, UK","The Shambles, York, UK",mecanico,
europa_occidental.csv,York,Clifford's Tower,"Clifford's Tower, York, UK","Clifford's Tower, York, UK",mecanico,
europa_occidental.csv,York,Merchant Adventurers' Hall,"Merchant Adventurers' Hall, York, UK","Merchant Adventurers' Hall, York, UK",mecanico,
europa_occidental.csv,York,Micklegate Bar,"Micklegate Bar, York, UK","Micklegate Bar, York, UK",mecanico,
europa_occidental.csv,York,Rowntree Park,"Rowntree Park, York, UK","Rowntree Park, York, UK",mecanico,
europa_occidental.csv,York,Fossgate / Gillygate,"Fossgate, York, UK","Fossgate, York, UK",mecanico,
europa_occidental.csv,York,Micklegate,"Micklegate, York, UK","Micklegate, York, UK",mecanico,
europa_occidental.csv,Edimburgo,Edinburgh Castle,"Edinburgh Castle, UK","Edinburgh Castle, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Palace of Holyroodhouse,"Palace of Holyroodhouse, Edinburgh, UK","Palace of Holyroodhouse, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Holyrood Abbey,"Holyrood Abbey, Edinburgh, UK","Holyrood Abbey, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Scottish Parliament,"Scottish Parliament, Edinburgh, UK","Scottish Parliament, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Greyfriars Kirkyard,"Greyfriars Kirkyard, Edinburgh, UK","Greyfriars Kirkyard, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Scott Monument,"Scott Monument, Edinburgh, UK","Scott Monument, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Calton Hill,"Calton Hill, Edinburgh, UK","Calton Hill, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Gladstone's Land,"Gladstone's Land, Edinburgh, UK","Gladstone's Land, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,John Knox House,"John Knox House, Edinburgh, UK","John Knox House, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Dean Village,"Dean Village, Edinburgh, UK","Dean Village, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Grassmarket,"Grassmarket, Edinburgh, UK","Grassmarket, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,George Heriot's School,"George Heriot's School, Edinburgh, UK","George Heriot's School, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Canongate Tolbooth,"Canongate Tolbooth, Edinburgh, UK","Canongate Tolbooth, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,National Museum of Scotland,"National Museum of Scotland, Edinburgh, UK","National Museum of Scotland, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Scottish National Gallery,"Scottish National Gallery, Edinburgh, UK","Scottish National Gallery, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Scottish National Portrait Gallery,"Scottish National Portrait Gallery, Edinburgh, UK","Scottish National Portrait Gallery, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Writers' Museum,"Writers' Museum, Edinburgh, UK","Writers' Museum, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Museum of Edinburgh,"Museum of Edinburgh, Canongate, UK","Museum of Edinburgh, Canongate, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Museum of Childhood,"Museum of Childhood, Edinburgh, UK","Museum of Childhood, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Surgeons' Hall Museum,"Surgeons' Hall Museums, Edinburgh, UK","Surgeons' Hall Museums, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Camera Obscura,"Camera Obscura, Edinburgh, UK","Camera Obscura, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,The Scotch Whisky Experience,"Scotch Whisky Experience, Edinburgh, UK","Scotch Whisky Experience, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Arthur's Seat,"Arthur's Seat, Edinburgh, UK","Arthur's Seat, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Salisbury Crags,"Salisbury Crags, Edinburgh, UK","Salisbury Crags, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Holyrood Park,"Holyrood Park, Edinburgh, UK","Holyrood Park, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Princes Street Gardens,"Princes Street Gardens, Edinburgh, UK","Princes Street Gardens, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Royal Botanic Garden,"Royal Botanic Garden Edinburgh, UK","Royal Botanic Garden Edinburgh, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,The Meadows,"The Meadows, Edinburgh, UK","The Meadows, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Stockbridge Market,"Stockbridge Market, Edinburgh, UK","Stockbridge Market, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Edinburgh Farmers' Market,"Castle Terrace, Edinburgh, UK","Castle Terrace, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Sandy Bell's,"Sandy Bell's, Edinburgh, UK","Sandy Bell's, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Victoria Street,"Victoria Street, Edinburgh, UK","Victoria Street, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,The Elephant House,"The Elephant House, Edinburgh, UK","The Elephant House, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Balmoral Hotel,"The Balmoral Hotel, Edinburgh, UK","The Balmoral Hotel, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Old Town,"Royal Mile, Edinburgh, UK","Royal Mile, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,New Town,"New Town, Edinburgh, UK","New Town, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Stockbridge,"Stockbridge, Edinburgh, UK","Stockbridge, Edinburgh, UK",mecanico,
europa_occidental.csv,Edimburgo,Leith,"Leith, Edinburgh, UK","Leith, Edinburgh, UK",mecanico,
europa_occidental.csv,Highlands,West Highland Museum,"West Highland Museum, Fort William, UK","West Highland Museum, Fort William, UK",mecanico,
europa_occidental.csv,Highlands,Nevis Range Gondola,"Nevis Range, Fort William, UK","Nevis Range, Fort William, UK",mecanico,
europa_occidental.csv,Highlands,Ben Nevis,"Ben Nevis, UK","Ben Nevis, Fort William, UK",mecanico,
europa_occidental.csv,Highlands,Neptune's Staircase,"Neptune's Staircase, Banavie, UK","Neptune's Staircase, Banavie, Fort William, UK",mecanico,
europa_occidental.csv,Highlands,Fort William Town,"Fort William, UK","Fort William, UK",mecanico,
europa_occidental.csv,Highlands,Buachaille Etive Mòr,"Buachaille Etive Mor, UK","Buachaille Etive Mor, Glencoe, UK",mecanico,
europa_occidental.csv,Highlands,Glen Etive,"Glen Etive, UK","Glen Etive, Glencoe, UK",mecanico,
europa_occidental.csv,Highlands,Lost Valley (Coire Gabhail),"Lost Valley, Glencoe, UK","Lost Valley, Glencoe, UK",mecanico,
europa_occidental.csv,Highlands,Signal Rock,"Signal Rock, Glencoe, UK","Signal Rock, Glencoe, UK",mecanico,
europa_occidental.csv,Highlands,Glencoe Lochan,"Glencoe Lochan, UK","Glencoe Lochan, Glencoe, UK",mecanico,
europa_occidental.csv,Highlands,Glencoe Visitor Centre,"Glencoe Visitor Centre, UK","Glencoe Visitor Centre, Glencoe, UK",mecanico,
europa_occidental.csv,Highlands,Devil's Staircase,"Devil's Staircase, Kinlochleven, UK","Devil's Staircase, Kinlochleven, Glencoe, UK",mecanico,
europa_occidental.csv,Highlands,Glenfinnan Viaduct,"Glenfinnan Viaduct, UK","Glenfinnan Viaduct, Glenfinnan, UK",mecanico,
europa_occidental.csv,Highlands,Glenfinnan Monument,"Glenfinnan Monument, UK","Glenfinnan Monument, Glenfinnan, UK",mecanico,
europa_occidental.csv,Highlands,Castle Stalker,"Castle Stalker, Portnacroish, UK","Castle Stalker, Portnacroish, Oban, UK",mecanico,
europa_occidental.csv,Highlands,Oban,"Oban, UK","Oban, UK",mecanico,
europa_occidental.csv,Highlands,Loch Lomond,"Loch Lomond, UK","Loch Lomond, Balloch, UK",mecanico,
europa_occidental.csv,Highlands,Eilean Donan Castle,"Eilean Donan Castle, Dornie, UK","Eilean Donan Castle, Dornie, Highland, UK",mecanico,
europa_occidental.csv,Highlands,Plockton,"Plockton, UK","Plockton, Highland, UK",mecanico,
europa_occidental.csv,Highlands,Bealach na Bà / Applecross,"Bealach na Ba, Applecross, UK","Bealach na Ba, Applecross, Highland, UK",mecanico,
europa_occidental.csv,Highlands,Old Man of Storr,"Old Man of Storr, Isle of Skye, UK","Old Man of Storr, Isle of Skye, Portree, UK",mecanico,
europa_occidental.csv,Highlands,Quiraing,"Quiraing, Isle of Skye, UK","Quiraing, Isle of Skye, Staffin, UK",mecanico,
europa_occidental.csv,Highlands,Fairy Glen,"Fairy Glen, Uig, Isle of Skye, UK","Fairy Glen, Uig, Staffin, UK",mecanico,
europa_occidental.csv,Highlands,Skye Museum of Island Life,"Skye Museum of Island Life, UK","Skye Museum of Island Life, Staffin, UK",mecanico,
europa_occidental.csv,Highlands,Neist Point Lighthouse,"Neist Point Lighthouse, Isle of Skye, UK","Neist Point Lighthouse, Isle of Skye, Dunvegan, UK",mecanico,
europa_occidental.csv,Highlands,Fairy Pools,"Fairy Pools, Glen Brittle, Isle of Skye, UK","Fairy Pools, Glen Brittle, Sligachan, UK",mecanico,
europa_occidental.csv,Highlands,Elgol,"Elgol, Isle of Skye, UK","Elgol, Isle of Skye, Sligachan, UK",mecanico,
europa_occidental.csv,Highlands,Loch Cluanie,"Loch Cluanie, UK","Loch Cluanie, Highland, UK",mecanico,
europa_occidental.csv,Highlands,Ness Islands,"Ness Islands, Inverness, UK","Ness Islands, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Inverness Castle,"Inverness Castle, UK","Inverness Castle, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Victorian Market,"Victorian Market, Inverness, UK","Victorian Market, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Church Street,"Church Street, Inverness, UK","Church Street, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Loch Ness Centre,"Loch Ness Centre, Drumnadrochit, UK","Loch Ness Centre, Drumnadrochit, UK",mecanico,
europa_occidental.csv,Highlands,Fort Augustus,"Fort Augustus, UK","Fort Augustus, Drumnadrochit, UK",mecanico,
europa_occidental.csv,Highlands,Culloden Battlefield,"Culloden Battlefield, Inverness, UK","Culloden Battlefield, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Fort George,"Fort George, Inverness, UK","Fort George, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Cawdor Castle,"Cawdor Castle, UK","Cawdor Castle, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Chanonry Point,"Chanonry Point, Fortrose, UK","Chanonry Point, Fortrose, Inverness, UK",mecanico,
europa_occidental.csv,Highlands,Glen Affric,"Glen Affric, UK","Glen Affric, Cannich, UK",mecanico,
europa_occidental.csv,Highlands,Cairngorms / Aviemore,"Aviemore, UK","Aviemore, UK",mecanico,
europa_occidental.csv,Highlands,Corrieshalloch Gorge,"Corrieshalloch Gorge, UK","Corrieshalloch Gorge, Ullapool, UK",mecanico,
europa_occidental.csv,Highlands,Pitlochry,"Pitlochry, UK","Pitlochry, UK",mecanico,
europa_occidental.csv,Highlands,Blair Castle,"Blair Castle, UK","Blair Castle, Pitlochry, UK",mecanico,
europa_occidental.csv,Highlands,Dunkeld,"Dunkeld, UK","Dunkeld, Pitlochry, UK",mecanico,
europa_occidental.csv,Highlands,Stirling Castle,"Stirling Castle, UK","Stirling Castle, Stirling, UK",mecanico,
europa_occidental.csv,Highlands,The Kelpies,"The Kelpies, Falkirk, UK","The Kelpies, Falkirk, Stirling, UK",mecanico,
europa_occidental.csv,Highlands,Falkirk Wheel,"Falkirk Wheel, UK","Falkirk Wheel, Stirling, UK",mecanico,
europa_occidental.csv,Highlands,Tomatin Distillery,"Tomatin Distillery, UK","Tomatin Distillery, Aviemore, UK",mecanico,
europa_occidental.csv,Ámsterdam,Anne Frank House,"Anne Frank House, Amsterdam","Anne Frank House, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Rijksmuseum,"Rijksmuseum, Amsterdam","Rijksmuseum, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Van Gogh Museum,"Van Gogh Museum, Amsterdam","Van Gogh Museum, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Stedelijk Museum,"Stedelijk Museum, Amsterdam","Stedelijk Museum, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Rembrandt House,"Rembrandt House Museum, Amsterdam","Rembrandt House Museum, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Hortus Botanicus,"Hortus Botanicus, Amsterdam","Hortus Botanicus, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Red Light Secrets,"Red Light Secrets, Amsterdam","Red Light Secrets, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Hash Marihuana & Hemp Museum,"Hash Marihuana Hemp Museum, Amsterdam","Hash Marihuana Hemp Museum, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Amsterdam Museum,Amsterdam Museum,"Amsterdam Museum, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Moco Museum,"Moco Museum, Amsterdam","Moco Museum, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Magere Brug,"Magere Brug, Amsterdam","Magere Brug, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Jordaan,"Jordaan, Amsterdam","Jordaan, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,De Pijp,"De Pijp, Amsterdam","De Pijp, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,De Wallen (Red Light District),"De Wallen, Amsterdam","De Wallen, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Oud-West,"Oud-West, Amsterdam","Oud-West, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Oost,Amsterdam-Oost,"Amsterdam-Oost, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Grey Area,"Grey Area Coffeeshop, Amsterdam","Grey Area Coffeeshop, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Dampkring,"Dampkring, Handboogstraat, Amsterdam","Dampkring, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Paradox,"Paradox Coffeeshop, Amsterdam","Paradox Coffeeshop, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Magic Mushroom Gallery,"Magic Mushroom Gallery, Spuistraat, Amsterdam","Magic Mushroom Gallery, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Tatanka,"Tatanka Smartshop, Amsterdam","Tatanka Smartshop, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Café 't Smalle,"Café 't Smalle, Amsterdam","Café 't Smalle, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Proeflokaal Wynand Fockink,"Wynand Fockink, Amsterdam","Wynand Fockink, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Brouwerij 't IJ,"Brouwerij 't IJ, Amsterdam","Brouwerij 't IJ, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Café de Dokter,"Café de Dokter, Amsterdam","Café de Dokter, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Gollem,"Gollem, Raamsteeg, Amsterdam","Gollem, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,A'DAM Lookout,"A'DAM Lookout, Amsterdam","A'DAM Lookout, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Heineken Experience,"Heineken Experience, Amsterdam","Heineken Experience, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Rembrandtplein,"Rembrandtplein, Amsterdam","Rembrandtplein, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Vondelpark,"Vondelpark, Amsterdam","Vondelpark, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Begijnhof,"Begijnhof, Amsterdam","Begijnhof, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Nieuwmarkt,"Nieuwmarkt, Amsterdam","Nieuwmarkt, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Sarphatipark,"Sarphatipark, Amsterdam","Sarphatipark, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Albert Cuypmarkt,"Albert Cuypmarkt, Amsterdam","Albert Cuypmarkt, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Noordermarkt,"Noordermarkt, Amsterdam","Noordermarkt, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Ámsterdam,Bloemenmarkt,"Bloemenmarkt, Amsterdam","Bloemenmarkt, Amsterdam, Netherlands",mecanico,
europa_occidental.csv,Colmar,Petite Venise,"La Petite Venise, Colmar, France","La Petite Venise, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Quai de la Poissonnerie,"Quai de la Poissonnerie, Colmar, France","Quai de la Poissonnerie, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Maison Pfister,"Maison Pfister, Colmar, France","Maison Pfister, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Maison des Têtes,"Maison des Têtes, Colmar, France","Maison des Têtes, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Collégiale Saint-Martin,"Collégiale Saint-Martin, Colmar, France","Collégiale Saint-Martin, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Ancien Corps de Garde,"Ancien Corps de Garde, Colmar, France","Ancien Corps de Garde, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Barrio des Juifs,"Rue des Juifs, Colmar, France","Rue des Juifs, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Rue des Têtes,"Rue des Têtes, Colmar, France","Rue des Têtes, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Musée Unterlinden,"Musée Unterlinden, Colmar, France","Musée Unterlinden, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Musée Bartholdi,"Musée Bartholdi, Colmar, France","Musée Bartholdi, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Musée du Jouet,"Musée du Jouet, Colmar, France","Musée du Jouet, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Musée d'Histoire Naturelle et d'Ethnographie,"Musée d'Histoire Naturelle et d'Ethnographie, Colmar, France","Musée d'Histoire Naturelle et d'Ethnographie, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Marché Couvert (Les Halles),"Marché Couvert Colmar, France","Marché Couvert Colmar, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Eguisheim,"Eguisheim, France","Eguisheim, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Kaysersberg,"Kaysersberg, France","Kaysersberg, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Riquewihr,"Riquewihr, France","Riquewihr, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Turckheim,"Turckheim, France","Turckheim, Colmar, France",mecanico,
europa_occidental.csv,Colmar,Ribeauvillé,"Ribeauvillé, France","Ribeauvillé, Colmar, France",mecanico,
